,FamilyType
17107,Female Head
20168,Female Head
3198,Female Head
8793,Female Head
10700,Female Head
6252,Female Head
6251,Female Head
6250,Female Head
6249,Female Head
3218,Female Head
10692,Female Head
10691,Female Head
6247,Female Head
10687,Female Head
6244,Female Head
3227,Female Head
6243,Female Head
6242,Female Head
6241,Female Head
6239,Female Head
8803,Female Head
6235,Female Head
6234,Female Head
6233,Female Head
8805,Female Head
8806,Female Head
8807,Female Head
15059,Female Head
8787,Female Head
8786,Female Head
6270,Female Head
3187,Female Head
6296,Female Head
14986,Female Head
6295,Female Head
14988,Female Head
14990,Female Head
20211,Female Head
10751,Female Head
8772,Female Head
8773,Female Head
8774,Female Head
8775,Female Head
20205,Female Head
10745,Female Head
8808,Female Head
10744,Female Head
14998,Female Head
14999,Female Head
10736,Female Head
6286,Female Head
6285,Female Head
3170,Female Head
18089,Female Head
6280,Female Head
6276,Female Head
6275,Female Head
20180,Female Head
6274,Female Head
18096,Female Head
14997,Female Head
8809,Female Head
8810,Female Head
8811,Female Head
20083,Female Head
6202,Female Head
10627,Female Head
10625,Female Head
3303,Female Head
3304,Female Head
10624,Female Head
16457,Female Head
16456,Female Head
18144,Female Head
10617,Female Head
18145,Female Head
18146,Female Head
20084,Female Head
16455,Female Head
16453,Female Head
10605,Female Head
10602,Female Head
20051,Female Head
6179,Female Head
6178,Female Head
20044,Female Head
6177,Female Head
6176,Female Head
6175,Female Head
6174,Female Head
6173,Female Head
6172,Female Head
16454,Female Head
10758,Female Head
20085,Female Head
3288,Female Head
6225,Female Head
8812,Female Head
3250,Female Head
6223,Female Head
20117,Female Head
8813,Female Head
8814,Female Head
15069,Female Head
8815,Female Head
8816,Female Head
6218,Female Head
6217,Female Head
6216,Female Head
20086,Female Head
6212,Female Head
3269,Female Head
10647,Female Head
10646,Female Head
10645,Female Head
18134,Female Head
15082,Female Head
15083,Female Head
15084,Female Head
6207,Female Head
6206,Female Head
6205,Female Head
3286,Female Head
10633,Female Head
6211,Female Head
6171,Female Head
10759,Female Head
6298,Female Head
6389,Female Head
8730,Female Head
8733,Female Head
18042,Female Head
2995,Female Head
6382,Female Head
8734,Female Head
6379,Female Head
3002,Female Head
3009,Female Head
10872,Female Head
20340,Female Head
10871,Female Head
10870,Female Head
10869,Female Head
10868,Female Head
10867,Female Head
10866,Female Head
10865,Female Head
10864,Female Head
10863,Female Head
10862,Female Head
10861,Female Head
10860,Female Head
10859,Female Head
10858,Female Head
10857,Female Head
6390,Female Head
20360,Female Head
20363,Female Head
20364,Female Head
6421,Female Head
18020,Female Head
14842,Female Head
6418,Female Head
6417,Female Head
6412,Female Head
6407,Female Head
6406,Female Head
6405,Female Head
20393,Female Head
2954,Female Head
14862,Female Head
6398,Female Head
10856,Female Head
6397,Female Head
14871,Female Head
14872,Female Head
14873,Female Head
20377,Female Head
14874,Female Head
14875,Female Head
14876,Female Head
14877,Female Head
14878,Female Head
14879,Female Head
14880,Female Head
14881,Female Head
2981,Female Head
16515,Female Head
10850,Female Head
10846,Female Head
8744,Female Head
6325,Female Head
14954,Female Head
6324,Female Head
6323,Female Head
6322,Female Head
6321,Female Head
3108,Female Head
6320,Female Head
6319,Female Head
6318,Female Head
6317,Female Head
6316,Female Head
6315,Female Head
10794,Female Head
6314,Female Head
6312,Female Head
6311,Female Head
8764,Female Head
8766,Female Head
6305,Female Head
8767,Female Head
6302,Female Head
3129,Female Head
6301,Female Head
20228,Female Head
6300,Female Head
14981,Female Head
20224,Female Head
6313,Female Head
10760,Female Head
6326,Female Head
6328,Female Head
8745,Female Head
3040,Female Head
3041,Female Head
10841,Female Head
10840,Female Head
20305,Female Head
18058,Female Head
3050,Female Head
8757,Female Head
8758,Female Head
3065,Female Head
20289,Female Head
10822,Female Head
6327,Female Head
3070,Female Head
6337,Female Head
6336,Female Head
6335,Female Head
6334,Female Head
6333,Female Head
10804,Female Head
6332,Female Head
6331,Female Head
3092,Female Head
20265,Female Head
6330,Female Head
6329,Female Head
10798,Female Head
20282,Female Head
6170,Female Head
6169,Female Head
6168,Female Head
18257,Female Head
8930,Female Head
5994,Female Head
5993,Female Head
5992,Female Head
19760,Female Head
5991,Female Head
15332,Female Head
15335,Female Head
5988,Female Head
18263,Female Head
5984,Female Head
5983,Female Head
18266,Female Head
5978,Female Head
5977,Female Head
5976,Female Head
5975,Female Head
15352,Female Head
15353,Female Head
15354,Female Head
19735,Female Head
3669,Female Head
15355,Female Head
15356,Female Head
15357,Female Head
19731,Female Head
8929,Female Head
5998,Female Head
5999,Female Head
6000,Female Head
10380,Female Head
8922,Female Head
18249,Female Head
8923,Female Head
10374,Female Head
10369,Female Head
6020,Female Head
6019,Female Head
6018,Female Head
6017,Female Head
6016,Female Head
6015,Female Head
6014,Female Head
19725,Female Head
15304,Female Head
6013,Female Head
6012,Female Head
6011,Female Head
6010,Female Head
8924,Female Head
15312,Female Head
15313,Female Head
6006,Female Head
8927,Female Head
6004,Female Head
8928,Female Head
6002,Female Head
6001,Female Head
15305,Female Head
10295,Female Head
10294,Female Head
10293,Female Head
10242,Female Head
10241,Female Head
19659,Female Head
19656,Female Head
5930,Female Head
5929,Female Head
5928,Female Head
5927,Female Head
5926,Female Head
10227,Female Head
10226,Female Head
5925,Female Head
5924,Female Head
19664,Female Head
5923,Female Head
5921,Female Head
5920,Female Head
5919,Female Head
3778,Female Head
3779,Female Head
10217,Female Head
10216,Female Head
5918,Female Head
5917,Female Head
5916,Female Head
10212,Female Head
19628,Female Head
19627,Female Head
5922,Female Head
19812,Female Head
19669,Female Head
10252,Female Head
10292,Female Head
19714,Female Head
10291,Female Head
10290,Female Head
10289,Female Head
10288,Female Head
3697,Female Head
10287,Female Head
10286,Female Head
10285,Female Head
10284,Female Head
10283,Female Head
5968,Female Head
19672,Female Head
5967,Female Head
10277,Female Head
3709,Female Head
5966,Female Head
3711,Female Head
5962,Female Head
5961,Female Head
5960,Female Head
10264,Female Head
10263,Female Head
18280,Female Head
10259,Female Head
3731,Female Head
10253,Female Head
10278,Female Head
3586,Female Head
3585,Female Head
10386,Female Head
19978,Female Head
6128,Female Head
15173,Female Head
10532,Female Head
10531,Female Head
16429,Female Head
3417,Female Head
10526,Female Head
10525,Female Head
3422,Female Head
6123,Female Head
19965,Female Head
15179,Female Head
6129,Female Head
10520,Female Head
10519,Female Head
15180,Female Head
15181,Female Head
19957,Female Head
15182,Female Head
15183,Female Head
10513,Female Head
